date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-15-21,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
10-17-31,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-41,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-21-21,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-24-31,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
10-28-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-29-21,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
10-29-31,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
10-30-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-30-31,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-31-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33-11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-35-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-36-01,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
10-36-31,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-36-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-38-31,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
10-38-41,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-38-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-39-21,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
10-39-41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-41-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0
10-41-51,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
10-42-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-42-21,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-42-31,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-42-41,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-42-51,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
10-43-21,0,0,0,0,0,0,33,0,0,50,0,0,0,0,0,0
10-43-31,0,0,0,0,0,0,33,0,0,36,0,0,0,0,0,0
10-45-11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-47-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-47-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-47-21,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
10-47-31,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
10-47-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-48-11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-48-41,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-48-51,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-50-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-50-11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-50-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-51-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-51-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
10-54-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-54-41,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-55-51,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
10-56-21,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
10-57-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
10-57-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
11-08-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-10-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-11-51,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-12-51,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-18-51,0,36,0,0,0,0,34,0,0,0,0,0,0,34,0,0
11-19-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-19-41,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-20-11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-20-21,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11-20-31,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-20-41,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-21-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-21-31,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-22-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
11-22-31,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
