date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-58-21,0,49,0,0,0,52,0,0,0,0,0,0,0,58,0,0
09-58-31,0,47,0,0,0,52,0,0,0,0,0,0,0,58,32,0
09-58-41,0,47,0,0,0,52,0,0,0,0,0,0,0,53,0,0
09-58-51,0,47,0,0,0,51,0,0,0,0,0,0,0,58,32,0
09-59-01,0,49,0,31,0,53,0,0,0,0,0,0,0,57,31,0
09-59-11,0,49,0,0,0,47,0,0,0,0,0,0,0,55,0,0
09-59-21,0,49,0,0,0,50,0,0,0,0,0,0,0,54,0,0
09-59-31,0,49,0,31,0,51,0,0,0,0,0,0,0,54,31,0
09-59-41,0,46,0,32,0,50,0,0,0,0,0,0,0,57,0,0
09-59-51,0,47,0,0,0,52,0,0,0,0,0,0,0,56,0,0
